GlaThiDa_ID,SURVEY_FREQUENCY,SURVEY_METHOD,MAXIMUM_THICKNESS
2385,60,GPRa,266
2386,60,GPRa,658
2387,60,GPRa,280
2388,60,GPRa,383
2389,60,GPRa,265
2390,60,GPRa,172
2391,60,GPRa,196
2392,60,GPRa,232
2393,60,GPRa,205
2394,60,GPRa,194
2395,60,GPRa,221
2396,60,GPRa,252
2397,60,GPRa,264
2398,60,GPRa,201
2399,60,GPRa,75
2400,60,GPRa,313
2401,60,GPRa,329
2402,60,GPRa,163
2403,NaN,DRIm,211
2404,60,GPRa,231
2405,30,GPRt,50
2406,60,GPRa,219
2407,60,GPRa,428
2408,60,GPRa,241
2409,10,GPRt,396
2410,10,GPRt,370
2411,60,GPRa,310
2412,25,GPRt,13
2413,60,GPRa,346
2414,25,GPRt,339
2415,60,GPRa,223
2416,60,GPRa,287
2417,60,GPRa,158
2418,60,GPRa,434
2419,12.5,GPRt,595
2420,10,GPRt,261
2421,10,GPRt,294
2422,60,GPRa,599
2423,10,GPRt,397
2424,10,GPRt,512
2425,10,GPRt,570
2426,10,GPRh,549
2427,10,GPRh,455
2428,10,GPRh,573
2429,10,GPRh,261
2430,60,GPRa,277
2431,12.5,GPRt,179
2432,10,GPRt,336
2433,10,GPRt,441
2434,10,GPRt,394
2435,10,GPRh,399
2436,10,GPRh,329
2437,10,GPRh,435
2438,60,GPRa,260
2439,60,GPRa,223
2440,60,GPRa,249
2441,60,GPRa,258
2442,60,GPRa,410
2443,60,GPRa,340
2444,60,GPRa,418
2445,60,GPRa,251
2446,60,GPRa,163
2447,10,GPRt,351
2448,10,GPRt,335
2449,60,GPRa,394
2450,60,GPRa,380
2451,8,GPRt,446
2452,12.5,GPRt,410
2453,8,GPRt,433
2454,10,GPRt,144
2455,10,GPRt,152
2456,10,GPRt,127
2457,10,GPRh,144
2458,10,GPRh,100
2459,10,GPRt,443
2460,60,GPRa,403
2461,10,GPRt,206
2462,60,GPRa,557
2463,10,GPRh,477
2464,10,GPRh,546
2465,10,GPRh,537
2466,10,GPRh,462
2467,10,GPRh,733
2468,60,GPRa,129
2469,15,GPRt,231
2470,60,GPRa,319
2471,60,GPRa,248
2472,10,GPRt,349
2473,10,GPRt,354
2474,60,GPRa,436
2475,10,GPRt,74
2476,60,GPRa,359
2477,60,GPRa,293
2478,10,GPRt,361
2479,10,GPRt,375
2480,60,GPRa,518
2481,60,GPRa,264
2482,60,GPRa,436
2483,NaN,DRIm,135
2484,60,GPRa,333
2485,60,GPRa,138
2486,NaN,DRIm,208
2487,60,GPRa,245
2488,10,GPRt,345
2489,60,GPRa,317
2490,60,GPRa,367
2491,60,GPRa,161
2492,60,GPRa,330
2493,60,GPRa,724
2494,60,GPRa,159
2495,60,GPRa,281
2496,60,GPRa,287
2497,NaN,DRIm,126
2498,60,GPRa,390
2499,60,GPRa,152
2500,150,GPRa,442
2501,150,GPRa,642
2502,150,GPRa,465
2503,150,GPRa,193
2504,150,GPRa,629
2505,150,GPRa,594
2506,150,GPRa,564
2507,150,GPRa,460
2508,150,GPRa,642
2509,150,GPRa,479
2510,150,GPRa,1237
2511,150,GPRa,497
2512,150,GPRa,205
2513,150,GPRa,386
2514,150,GPRa,393
2515,150,GPRa,370
2516,150,GPRa,547
2517,150,GPRa,30
2518,150,GPRa,625
2519,150,GPRa,64
2520,150,GPRa,794
2521,150,GPRa,883
2522,150,GPRa,866
2523,150,GPRa,574
2524,150,GPRa,600
2525,150,GPRa,515
2526,150,GPRa,857
2527,150,GPRa,225
2528,150,GPRa,887
2529,150,GPRa,813
2530,150,GPRa,936
2531,150,GPRa,723
2532,150,GPRa,908
2533,150,GPRa,891
2534,150,GPRa,541
2535,150,GPRa,324
2536,150,GPRa,371
2537,150,GPRa,456
2538,150,GPRa,420
2539,150,GPRa,501
2540,150,GPRa,375
2541,150,GPRa,514
2542,150,GPRa,235
2543,150,GPRa,52
2544,150,GPRa,172
2545,150,GPRa,180
2546,150,GPRa,99
2547,150,GPRa,181
2548,150,GPRa,225
2549,150,GPRa,215
2550,150,GPRa,82
2551,150,GPRa,334
2552,150,GPRa,245
2553,150,GPRa,638
2554,150,GPRa,251
2555,150,GPRa,478
2556,150,GPRa,1026
2557,150,GPRa,541
2558,150,GPRa,366
2559,150,GPRa,562
2560,150,GPRa,467
2561,150,GPRa,273
2562,150,GPRa,459
2563,150,GPRa,245
2564,150,GPRa,326
2565,150,GPRa,516
2566,150,GPRa,449
2567,150,GPRa,150
2568,150,GPRa,86
2569,150,GPRa,164
2570,150,GPRa,255
2571,150,GPRa,107
2572,150,GPRa,172
2573,150,GPRa,18
2574,150,GPRa,275
2575,150,GPRa,69
2576,150,GPRa,50
2577,150,GPRa,327
2578,150,GPRa,401
2579,150,GPRa,294
2580,150,GPRa,42
2581,150,GPRa,217
2582,150,GPRa,231
2583,150,GPRa,326
2584,150,GPRa,640
2585,150,GPRa,346
2586,150,GPRa,486
2587,150,GPRa,530
2588,150,GPRa,574
2589,150,GPRa,516
2590,150,GPRa,617
2591,150,GPRa,269
2592,150,GPRa,148
2593,150,GPRa,160
2594,150,GPRa,526
2595,150,GPRa,512
2596,150,GPRa,287
2597,150,GPRa,161
2598,150,GPRa,570
2599,150,GPRa,684
2600,150,GPRa,811
